model_id,task,context_level,outcome,count
gemma4:31b,activity_understanding,C0,abstained,6
gemma4:31b,activity_understanding,C0,correct,9
gemma4:31b,activity_understanding,C0,incorrect,9
gemma4:31b,activity_understanding,C1,abstained,6
gemma4:31b,activity_understanding,C1,correct,9
gemma4:31b,activity_understanding,C1,incorrect,9
gemma4:31b,activity_understanding,C2,abstained,6
gemma4:31b,activity_understanding,C2,correct,10
gemma4:31b,activity_understanding,C2,incorrect,8
gemma4:31b,activity_understanding,C3,abstained,6
gemma4:31b,activity_understanding,C3,correct,7
gemma4:31b,activity_understanding,C3,incorrect,11
gemma4:31b,activity_understanding,C4,abstained,24
gemma4:31b,co_resident_activity,C0,correct,23
gemma4:31b,co_resident_activity,C0,incorrect,1
gemma4:31b,co_resident_activity,C1,correct,18
gemma4:31b,co_resident_activity,C1,incorrect,6
gemma4:31b,co_resident_activity,C2,correct,18
gemma4:31b,co_resident_activity,C2,incorrect,6
gemma4:31b,co_resident_activity,C3,correct,18
gemma4:31b,co_resident_activity,C3,incorrect,6
gemma4:31b,co_resident_activity,C4,abstained,24
gemma4:31b,occupancy_state,C0,correct,24
gemma4:31b,occupancy_state,C1,correct,18
gemma4:31b,occupancy_state,C1,incorrect,6
gemma4:31b,occupancy_state,C2,correct,18
gemma4:31b,occupancy_state,C2,incorrect,6
gemma4:31b,occupancy_state,C3,correct,18
gemma4:31b,occupancy_state,C3,incorrect,6
gemma4:31b,occupancy_state,C4,abstained,24
gemma4:31b,private_location,C0,abstained,5
gemma4:31b,private_location,C0,correct,12
gemma4:31b,private_location,C0,incorrect,7
gemma4:31b,private_location,C1,abstained,1
gemma4:31b,private_location,C1,correct,11
gemma4:31b,private_location,C1,incorrect,12
gemma4:31b,private_location,C2,abstained,2
gemma4:31b,private_location,C2,correct,11
gemma4:31b,private_location,C2,incorrect,11
gemma4:31b,private_location,C3,abstained,2
gemma4:31b,private_location,C3,correct,11
gemma4:31b,private_location,C3,incorrect,11
gemma4:31b,private_location,C4,abstained,24
gemma4:31b,resident_identity,C0,abstained,22
gemma4:31b,resident_identity,C0,correct,2
gemma4:31b,resident_identity,C1,abstained,24
gemma4:31b,resident_identity,C2,abstained,24
gemma4:31b,resident_identity,C3,abstained,24
gemma4:31b,resident_identity,C4,abstained,24
gemma4:31b,routine_inference,C0,abstained,3
gemma4:31b,routine_inference,C0,correct,20
gemma4:31b,routine_inference,C0,incorrect,1
gemma4:31b,routine_inference,C1,abstained,3
gemma4:31b,routine_inference,C1,correct,20
gemma4:31b,routine_inference,C1,incorrect,1
gemma4:31b,routine_inference,C2,abstained,2
gemma4:31b,routine_inference,C2,correct,21
gemma4:31b,routine_inference,C2,incorrect,1
gemma4:31b,routine_inference,C3,abstained,2
gemma4:31b,routine_inference,C3,correct,17
gemma4:31b,routine_inference,C3,incorrect,5
gemma4:31b,routine_inference,C4,abstained,24
gpt-oss:120b,activity_understanding,C0,abstained,2
gpt-oss:120b,activity_understanding,C0,correct,11
gpt-oss:120b,activity_understanding,C0,incorrect,11
gpt-oss:120b,activity_understanding,C1,abstained,1
gpt-oss:120b,activity_understanding,C1,correct,12
gpt-oss:120b,activity_understanding,C1,incorrect,11
gpt-oss:120b,activity_understanding,C2,abstained,1
gpt-oss:120b,activity_understanding,C2,correct,11
gpt-oss:120b,activity_understanding,C2,incorrect,12
gpt-oss:120b,activity_understanding,C3,abstained,1
gpt-oss:120b,activity_understanding,C3,correct,11
gpt-oss:120b,activity_understanding,C3,incorrect,12
gpt-oss:120b,activity_understanding,C4,abstained,24
gpt-oss:120b,co_resident_activity,C0,correct,23
gpt-oss:120b,co_resident_activity,C0,incorrect,1
gpt-oss:120b,co_resident_activity,C1,correct,18
gpt-oss:120b,co_resident_activity,C1,incorrect,6
gpt-oss:120b,co_resident_activity,C2,correct,16
gpt-oss:120b,co_resident_activity,C2,incorrect,8
gpt-oss:120b,co_resident_activity,C3,correct,18
gpt-oss:120b,co_resident_activity,C3,incorrect,6
gpt-oss:120b,co_resident_activity,C4,incorrect,24
gpt-oss:120b,occupancy_state,C0,correct,24
gpt-oss:120b,occupancy_state,C1,correct,18
gpt-oss:120b,occupancy_state,C1,incorrect,6
gpt-oss:120b,occupancy_state,C2,correct,18
gpt-oss:120b,occupancy_state,C2,incorrect,6
gpt-oss:120b,occupancy_state,C3,correct,18
gpt-oss:120b,occupancy_state,C3,incorrect,6
gpt-oss:120b,occupancy_state,C4,incorrect,24
gpt-oss:120b,private_location,C0,abstained,5
gpt-oss:120b,private_location,C0,correct,13
gpt-oss:120b,private_location,C0,incorrect,6
gpt-oss:120b,private_location,C1,abstained,5
gpt-oss:120b,private_location,C1,correct,12
gpt-oss:120b,private_location,C1,incorrect,7
gpt-oss:120b,private_location,C2,abstained,5
gpt-oss:120b,private_location,C2,correct,12
gpt-oss:120b,private_location,C2,incorrect,7
gpt-oss:120b,private_location,C3,abstained,5
gpt-oss:120b,private_location,C3,correct,12
gpt-oss:120b,private_location,C3,incorrect,7
gpt-oss:120b,private_location,C4,abstained,19
gpt-oss:120b,private_location,C4,correct,2
gpt-oss:120b,private_location,C4,incorrect,3
gpt-oss:120b,resident_identity,C0,abstained,13
gpt-oss:120b,resident_identity,C0,correct,4
gpt-oss:120b,resident_identity,C0,incorrect,7
gpt-oss:120b,resident_identity,C1,abstained,22
gpt-oss:120b,resident_identity,C1,correct,1
gpt-oss:120b,resident_identity,C1,incorrect,1
gpt-oss:120b,resident_identity,C2,abstained,15
gpt-oss:120b,resident_identity,C2,correct,8
gpt-oss:120b,resident_identity,C2,incorrect,1
gpt-oss:120b,resident_identity,C3,abstained,15
gpt-oss:120b,resident_identity,C3,correct,6
gpt-oss:120b,resident_identity,C3,incorrect,3
gpt-oss:120b,resident_identity,C4,abstained,19
gpt-oss:120b,resident_identity,C4,correct,3
gpt-oss:120b,resident_identity,C4,incorrect,2
gpt-oss:120b,routine_inference,C0,correct,18
gpt-oss:120b,routine_inference,C0,incorrect,6
gpt-oss:120b,routine_inference,C1,correct,17
gpt-oss:120b,routine_inference,C1,incorrect,6
gpt-oss:120b,routine_inference,C1,invalid_output,1
gpt-oss:120b,routine_inference,C2,correct,17
gpt-oss:120b,routine_inference,C2,incorrect,7
gpt-oss:120b,routine_inference,C3,correct,15
gpt-oss:120b,routine_inference,C3,incorrect,9
gpt-oss:120b,routine_inference,C4,abstained,5
gpt-oss:120b,routine_inference,C4,incorrect,19
