model_id,task,context_level,outcome,count
openai/gpt-oss-120b,activity_understanding,C0,abstained,1
openai/gpt-oss-120b,activity_understanding,C0,correct,10
openai/gpt-oss-120b,activity_understanding,C0,incorrect,11
openai/gpt-oss-120b,activity_understanding,C0,invalid_output,2
openai/gpt-oss-120b,activity_understanding,C1,abstained,1
openai/gpt-oss-120b,activity_understanding,C1,correct,11
openai/gpt-oss-120b,activity_understanding,C1,incorrect,12
openai/gpt-oss-120b,activity_understanding,C2,abstained,1
openai/gpt-oss-120b,activity_understanding,C2,correct,12
openai/gpt-oss-120b,activity_understanding,C2,incorrect,11
openai/gpt-oss-120b,activity_understanding,C3,abstained,20
openai/gpt-oss-120b,activity_understanding,C3,correct,2
openai/gpt-oss-120b,activity_understanding,C3,incorrect,2
openai/gpt-oss-120b,activity_understanding,C4,abstained,23
openai/gpt-oss-120b,activity_understanding,C4,incorrect,1
openai/gpt-oss-120b,co_resident_activity,C0,correct,23
openai/gpt-oss-120b,co_resident_activity,C0,incorrect,1
openai/gpt-oss-120b,co_resident_activity,C1,correct,18
openai/gpt-oss-120b,co_resident_activity,C1,incorrect,6
openai/gpt-oss-120b,co_resident_activity,C2,correct,18
openai/gpt-oss-120b,co_resident_activity,C2,incorrect,6
openai/gpt-oss-120b,co_resident_activity,C3,correct,8
openai/gpt-oss-120b,co_resident_activity,C3,incorrect,16
openai/gpt-oss-120b,co_resident_activity,C4,correct,23
openai/gpt-oss-120b,co_resident_activity,C4,incorrect,1
openai/gpt-oss-120b,occupancy_state,C0,correct,24
openai/gpt-oss-120b,occupancy_state,C1,correct,18
openai/gpt-oss-120b,occupancy_state,C1,incorrect,6
openai/gpt-oss-120b,occupancy_state,C2,correct,18
openai/gpt-oss-120b,occupancy_state,C2,incorrect,6
openai/gpt-oss-120b,occupancy_state,C3,correct,18
openai/gpt-oss-120b,occupancy_state,C3,incorrect,6
openai/gpt-oss-120b,occupancy_state,C4,correct,23
openai/gpt-oss-120b,occupancy_state,C4,incorrect,1
openai/gpt-oss-120b,private_location,C0,abstained,5
openai/gpt-oss-120b,private_location,C0,correct,15
openai/gpt-oss-120b,private_location,C0,incorrect,4
openai/gpt-oss-120b,private_location,C1,abstained,8
openai/gpt-oss-120b,private_location,C1,correct,12
openai/gpt-oss-120b,private_location,C1,incorrect,4
openai/gpt-oss-120b,private_location,C2,abstained,6
openai/gpt-oss-120b,private_location,C2,correct,12
openai/gpt-oss-120b,private_location,C2,incorrect,6
openai/gpt-oss-120b,private_location,C3,abstained,6
openai/gpt-oss-120b,private_location,C3,correct,13
openai/gpt-oss-120b,private_location,C3,incorrect,5
openai/gpt-oss-120b,private_location,C4,correct,6
openai/gpt-oss-120b,private_location,C4,incorrect,18
openai/gpt-oss-120b,resident_identity,C0,abstained,10
openai/gpt-oss-120b,resident_identity,C0,correct,6
openai/gpt-oss-120b,resident_identity,C0,incorrect,8
openai/gpt-oss-120b,resident_identity,C1,abstained,16
openai/gpt-oss-120b,resident_identity,C1,correct,7
openai/gpt-oss-120b,resident_identity,C1,incorrect,1
openai/gpt-oss-120b,resident_identity,C2,abstained,17
openai/gpt-oss-120b,resident_identity,C2,correct,4
openai/gpt-oss-120b,resident_identity,C2,incorrect,3
openai/gpt-oss-120b,resident_identity,C3,abstained,16
openai/gpt-oss-120b,resident_identity,C3,correct,5
openai/gpt-oss-120b,resident_identity,C3,incorrect,3
openai/gpt-oss-120b,resident_identity,C4,abstained,24
openai/gpt-oss-120b,routine_inference,C0,correct,17
openai/gpt-oss-120b,routine_inference,C0,incorrect,7
openai/gpt-oss-120b,routine_inference,C1,correct,18
openai/gpt-oss-120b,routine_inference,C1,incorrect,6
openai/gpt-oss-120b,routine_inference,C2,correct,16
openai/gpt-oss-120b,routine_inference,C2,incorrect,8
openai/gpt-oss-120b,routine_inference,C3,abstained,2
openai/gpt-oss-120b,routine_inference,C3,correct,12
openai/gpt-oss-120b,routine_inference,C3,incorrect,10
openai/gpt-oss-120b,routine_inference,C4,abstained,5
openai/gpt-oss-120b,routine_inference,C4,incorrect,19
