model_id,task,context_level,outcome,count
llama3.2:latest,activity_understanding,C0,correct,9
llama3.2:latest,activity_understanding,C0,incorrect,15
llama3.2:latest,activity_understanding,C1,correct,6
llama3.2:latest,activity_understanding,C1,incorrect,17
llama3.2:latest,activity_understanding,C1,invalid_output,1
llama3.2:latest,activity_understanding,C2,correct,3
llama3.2:latest,activity_understanding,C2,incorrect,18
llama3.2:latest,activity_understanding,C2,invalid_output,3
llama3.2:latest,activity_understanding,C3,correct,3
llama3.2:latest,activity_understanding,C3,incorrect,19
llama3.2:latest,activity_understanding,C3,invalid_output,2
llama3.2:latest,activity_understanding,C4,correct,1
llama3.2:latest,activity_understanding,C4,incorrect,23
llama3.2:latest,co_resident_activity,C0,correct,17
llama3.2:latest,co_resident_activity,C0,incorrect,6
llama3.2:latest,co_resident_activity,C0,invalid_output,1
llama3.2:latest,co_resident_activity,C1,correct,16
llama3.2:latest,co_resident_activity,C1,incorrect,4
llama3.2:latest,co_resident_activity,C1,invalid_output,4
llama3.2:latest,co_resident_activity,C2,correct,11
llama3.2:latest,co_resident_activity,C2,incorrect,5
llama3.2:latest,co_resident_activity,C2,invalid_output,8
llama3.2:latest,co_resident_activity,C3,correct,13
llama3.2:latest,co_resident_activity,C3,incorrect,6
llama3.2:latest,co_resident_activity,C3,invalid_output,5
llama3.2:latest,co_resident_activity,C4,correct,24
llama3.2:latest,occupancy_state,C0,abstained,15
llama3.2:latest,occupancy_state,C0,correct,7
llama3.2:latest,occupancy_state,C0,incorrect,1
llama3.2:latest,occupancy_state,C0,invalid_output,1
llama3.2:latest,occupancy_state,C1,correct,5
llama3.2:latest,occupancy_state,C1,incorrect,5
llama3.2:latest,occupancy_state,C1,invalid_output,14
llama3.2:latest,occupancy_state,C2,correct,12
llama3.2:latest,occupancy_state,C2,incorrect,5
llama3.2:latest,occupancy_state,C2,invalid_output,7
llama3.2:latest,occupancy_state,C3,correct,7
llama3.2:latest,occupancy_state,C3,incorrect,6
llama3.2:latest,occupancy_state,C3,invalid_output,11
llama3.2:latest,occupancy_state,C4,abstained,1
llama3.2:latest,occupancy_state,C4,correct,23
llama3.2:latest,private_location,C0,correct,10
llama3.2:latest,private_location,C0,incorrect,14
llama3.2:latest,private_location,C1,correct,10
llama3.2:latest,private_location,C1,incorrect,12
llama3.2:latest,private_location,C1,invalid_output,2
llama3.2:latest,private_location,C2,correct,9
llama3.2:latest,private_location,C2,incorrect,14
llama3.2:latest,private_location,C2,invalid_output,1
llama3.2:latest,private_location,C3,correct,10
llama3.2:latest,private_location,C3,incorrect,10
llama3.2:latest,private_location,C3,invalid_output,4
llama3.2:latest,private_location,C4,correct,7
llama3.2:latest,private_location,C4,incorrect,17
llama3.2:latest,resident_identity,C0,abstained,12
llama3.2:latest,resident_identity,C0,correct,2
llama3.2:latest,resident_identity,C0,incorrect,10
llama3.2:latest,resident_identity,C1,abstained,24
llama3.2:latest,resident_identity,C2,abstained,24
llama3.2:latest,resident_identity,C3,abstained,24
llama3.2:latest,resident_identity,C4,abstained,18
llama3.2:latest,resident_identity,C4,correct,1
llama3.2:latest,resident_identity,C4,incorrect,4
llama3.2:latest,resident_identity,C4,invalid_output,1
llama3.2:latest,routine_inference,C0,abstained,21
llama3.2:latest,routine_inference,C0,correct,2
llama3.2:latest,routine_inference,C0,incorrect,1
llama3.2:latest,routine_inference,C1,abstained,19
llama3.2:latest,routine_inference,C1,correct,4
