model_id,task,context_level,outcome,count
llama3.2:latest,activity_understanding,C0,abstained,1
llama3.2:latest,activity_understanding,C0,correct,60
llama3.2:latest,activity_understanding,C0,incorrect,152
llama3.2:latest,activity_understanding,C0,invalid_output,2
llama3.2:latest,activity_understanding,C1,correct,40
llama3.2:latest,activity_understanding,C1,incorrect,150
llama3.2:latest,activity_understanding,C1,invalid_output,25
llama3.2:latest,activity_understanding,C2,correct,58
llama3.2:latest,activity_understanding,C2,incorrect,145
llama3.2:latest,activity_understanding,C2,invalid_output,12
llama3.2:latest,activity_understanding,C3,correct,16
llama3.2:latest,activity_understanding,C3,incorrect,195
llama3.2:latest,activity_understanding,C3,invalid_output,4
llama3.2:latest,activity_understanding,C4,correct,47
llama3.2:latest,activity_understanding,C4,incorrect,168
llama3.2:latest,co_resident_activity,C0,correct,153
llama3.2:latest,co_resident_activity,C0,incorrect,53
llama3.2:latest,co_resident_activity,C0,invalid_output,9
llama3.2:latest,co_resident_activity,C1,correct,130
llama3.2:latest,co_resident_activity,C1,incorrect,42
llama3.2:latest,co_resident_activity,C1,invalid_output,43
llama3.2:latest,co_resident_activity,C2,correct,130
llama3.2:latest,co_resident_activity,C2,incorrect,53
llama3.2:latest,co_resident_activity,C2,invalid_output,32
llama3.2:latest,co_resident_activity,C3,abstained,1
llama3.2:latest,co_resident_activity,C3,correct,123
llama3.2:latest,co_resident_activity,C3,incorrect,50
llama3.2:latest,co_resident_activity,C3,invalid_output,41
llama3.2:latest,co_resident_activity,C4,correct,215
llama3.2:latest,occupancy_state,C0,abstained,99
llama3.2:latest,occupancy_state,C0,correct,93
llama3.2:latest,occupancy_state,C0,incorrect,10
llama3.2:latest,occupancy_state,C0,invalid_output,13
llama3.2:latest,occupancy_state,C1,abstained,1
llama3.2:latest,occupancy_state,C1,correct,89
llama3.2:latest,occupancy_state,C1,incorrect,34
llama3.2:latest,occupancy_state,C1,invalid_output,91
llama3.2:latest,occupancy_state,C2,correct,112
llama3.2:latest,occupancy_state,C2,incorrect,48
llama3.2:latest,occupancy_state,C2,invalid_output,55
llama3.2:latest,occupancy_state,C3,correct,85
llama3.2:latest,occupancy_state,C3,incorrect,52
llama3.2:latest,occupancy_state,C3,invalid_output,78
llama3.2:latest,occupancy_state,C4,abstained,1
llama3.2:latest,occupancy_state,C4,correct,214
llama3.2:latest,private_location,C0,correct,90
llama3.2:latest,private_location,C0,incorrect,123
llama3.2:latest,private_location,C0,invalid_output,2
llama3.2:latest,private_location,C1,correct,87
llama3.2:latest,private_location,C1,incorrect,111
llama3.2:latest,private_location,C1,invalid_output,17
llama3.2:latest,private_location,C2,correct,66
llama3.2:latest,private_location,C2,incorrect,140
llama3.2:latest,private_location,C2,invalid_output,9
llama3.2:latest,private_location,C3,correct,105
llama3.2:latest,private_location,C3,incorrect,58
llama3.2:latest,private_location,C3,invalid_output,52
llama3.2:latest,private_location,C4,correct,108
llama3.2:latest,private_location,C4,incorrect,107
llama3.2:latest,resident_identity,C0,abstained,79
llama3.2:latest,resident_identity,C0,correct,47
llama3.2:latest,resident_identity,C0,incorrect,87
llama3.2:latest,resident_identity,C0,invalid_output,2
llama3.2:latest,resident_identity,C1,abstained,215
llama3.2:latest,resident_identity,C2,abstained,214
llama3.2:latest,resident_identity,C2,incorrect,1
llama3.2:latest,resident_identity,C3,abstained,215
llama3.2:latest,resident_identity,C4,abstained,162
llama3.2:latest,resident_identity,C4,correct,31
llama3.2:latest,resident_identity,C4,incorrect,21
llama3.2:latest,resident_identity,C4,invalid_output,1
llama3.2:latest,routine_inference,C0,abstained,195
llama3.2:latest,routine_inference,C0,correct,17
llama3.2:latest,routine_inference,C0,incorrect,2
llama3.2:latest,routine_inference,C0,invalid_output,1
llama3.2:latest,routine_inference,C1,abstained,182
llama3.2:latest,routine_inference,C1,correct,28
llama3.2:latest,routine_inference,C1,incorrect,3
llama3.2:latest,routine_inference,C1,invalid_output,2
llama3.2:latest,routine_inference,C2,abstained,111
llama3.2:latest,routine_inference,C2,correct,87
llama3.2:latest,routine_inference,C2,incorrect,13
llama3.2:latest,routine_inference,C2,invalid_output,4
llama3.2:latest,routine_inference,C3,abstained,170
llama3.2:latest,routine_inference,C3,correct,22
llama3.2:latest,routine_inference,C3,incorrect,22
llama3.2:latest,routine_inference,C3,invalid_output,1
llama3.2:latest,routine_inference,C4,abstained,162
llama3.2:latest,routine_inference,C4,correct,1
llama3.2:latest,routine_inference,C4,incorrect,52
phi3.5:latest,activity_understanding,C0,abstained,10
phi3.5:latest,activity_understanding,C0,correct,132
phi3.5:latest,activity_understanding,C0,incorrect,73
phi3.5:latest,activity_understanding,C1,correct,134
